,영화명,개봉일,매출액,관객수,스크린수,상영횟수,배급사,영화코드,장르,감독,기사수,배우,관객평점,링크,감독수상,감독파워
39,레드카펫,20141023,2405669580,316953,385,17696,(주)프레인글로벌,20139964,멜로/로맨스,박범수,287654,윤계상|고준희|,8.26,https://movie.naver.com/movie/bi/mi/basic.nhn?code=106332,0,0
40,덕수리 5형제,20141204,1590807200,210777,346,10719,롯데쇼핑㈜롯데엔터테인먼트,20134588,코미디,전형준,4223,윤상현|송새벽|이아이|찬성|김지민|이광수|,6.95,https://movie.naver.com/movie/bi/mi/basic.nhn?code=118409,0,0
41,아빠를 빌려드립니다,20141120,1190329500,172652,326,8457,"메가박스중앙(주)플러스엠,(주)레드로버",20136312,코미디,김덕수,3861,김상경|문정희|최다인|채정안|조재윤|,7.84,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109200,0,0
42,가시,20140410,1095301000,142170,356,11622,(주)인벤트스톤,20134585,멜로/로맨스,김태균,30687,장혁|조보아|,6.81,https://movie.naver.com/movie/bi/mi/basic.nhn?code=112645,9,0
43,맨홀,20141008,1084557130,133663,286,10324,롯데쇼핑㈜롯데엔터테인먼트,20148927,공포(호러),신재영,4750,정경호|정유미|김새론|,3.75,https://movie.naver.com/movie/bi/mi/basic.nhn?code=117863,0,0
44,터널 3D,20140820,620874000,80989,264,5076,(주)박수엔터테인먼트,20147928,공포(호러),박규택,5947,정유미|연우진|송재림|정시연|,5.72,https://movie.naver.com/movie/bi/mi/basic.nhn?code=119962,0,0
45,설계,20140918,347980800,45726,257,5465,(주)팝엔터테인먼트,20149257,스릴러,박창진,92767,신은경|오인혜|이기영|강지섭|,4.64,https://movie.naver.com/movie/bi/mi/basic.nhn?code=123014,0,0
46,백프로,20140403,284106600,37909,236,4915,(주)마인스 엔터테인먼트,20124047,코미디,김명균,1985,윤시윤|여진구|천호진|이경영|박상면|이원종|,5.33,https://movie.naver.com/movie/bi/mi/basic.nhn?code=64194,0,0
47,베테랑,20150805,105168155250,13414009,1115,199231,씨제이이앤엠(주),20148048,액션,류승완,93360,황정민|유아인|유해진|오달수|,9.01,https://movie.naver.com/movie/bi/mi/basic.nhn?code=115977,47,6
48,암살,20150722,98463132781,12705700,1519,175185,(주)쇼박스,20148851,액션,최동훈,81348,전지현|이정재|하정우|,8.97,https://movie.naver.com/movie/bi/mi/basic.nhn?code=121048,40,4
49,내부자들,20151119,56465665657,7055332,1129,152265,(주)쇼박스,20149314,범죄,우민호,35719,이병헌|조승우|백윤식|,8.99,https://movie.naver.com/movie/bi/mi/basic.nhn?code=121788,16,2
50,사도,20150916,48842902501,6246849,1210,124246,(주)쇼박스,20148846,사극,이준익,42818,송강호|유아인|문근영|,8.24,https://movie.naver.com/movie/bi/mi/basic.nhn?code=121922,97,8
51,연평해전,20150624,45563228330,6043784,1013,114450,(주)넥스트엔터테인먼트월드(NEW),20134798,드라마,김학순,17579,김무열|진구|이현우|,8.99,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102272,9,1
52,검은 사제들,20151105,42405282092,5442128,1109,131155,씨제이이앤엠(주),20145503,미스터리,장재현,19521,김윤석|강동원|,8.31,https://movie.naver.com/movie/bi/mi/basic.nhn?code=120157,10,1
53,히말라야,20151216,39469775448,5129409,1095,81042,씨제이이앤엠(주),20136068,드라마,이석훈,23893,황정민|정우|,7.98,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100647,9,4
54,조선명탐정 : 사라진 놉의 딸,20150211,30456879428,3872015,825,80499,(주)쇼박스,20149570,사극,김석윤,7541,김명민|오달수|이연희|,7.66,https://movie.naver.com/movie/bi/mi/basic.nhn?code=123596,1,0
55,스물,20150325,23563421686,3044811,926,100161,(주)넥스트엔터테인먼트월드(NEW),20148845,코미디,이병헌,23837,김우빈|준호|강하늘|,7.64,https://movie.naver.com/movie/bi/mi/basic.nhn?code=123277,2,0
56,극비수사,20150618,22389535897,2860786,894,66211,(주)쇼박스,20148855,드라마,곽경택,10789,김윤석|유해진|,8.09,https://movie.naver.com/movie/bi/mi/basic.nhn?code=122120,15,0
57,탐정 : 더 비기닝,20150924,20463956973,2625686,764,54995,씨제이이앤엠(주),20156557,코미디,김정훈,6376,권상우|성동일|,8.47,https://movie.naver.com/movie/bi/mi/basic.nhn?code=124201,2,0
58,악의 연대기,20150514,17361815332,2192525,776,64351,씨제이이앤엠(주),20149569,스릴러,백운학,10953,손현주|마동석|최다니엘|박서준|,7.62,https://movie.naver.com/movie/bi/mi/basic.nhn?code=122535,1,0
59,강남 1970,20150121,17718699499,2192276,841,53304,(주)쇼박스,20136888,액션,유하,20733,이민호|김래원|정진영|,7.13,https://movie.naver.com/movie/bi/mi/basic.nhn?code=103760,15,0
60,뷰티 인사이드,20150820,16148479531,2053435,648,52618,(주)넥스트엔터테인먼트월드(NEW),20143572,판타지,백,23636,한효주|김대명|도지한|배성우|박신혜|이범수|박서준|김상호|천우희|우에노 주리|이재준|김민재|이현우|조달환|이진욱|홍다미|서강준|김희원|이동욱|고아성|김주혁|유연석|,7.74,https://movie.naver.com/movie/bi/mi/basic.nhn?code=129050,0,0
61,오늘의 연애,20150114,14924654487,1891993,709,47237,씨제이이앤엠(주),20142407,멜로/로맨스,박진표,17057,이승기|문채원|이서진|정준영|,6.65,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74027,19,0
62,쎄시봉,20150205,13571515911,1715370,829,51744,씨제이이앤엠(주),20148188,멜로/로맨스,김현석,14729,정우|김윤석|한효주|김희애|진구|장현성|강하늘|조복래|,6.07,https://movie.naver.com/movie/bi/mi/basic.nhn?code=119966,25,0
63,더 폰,20151022,12309164568,1593694,794,53599,(주)넥스트엔터테인먼트월드(NEW),20157464,스릴러,김봉주,6409,손현주|엄지원|배성우|,6.83,https://movie.naver.com/movie/bi/mi/basic.nhn?code=134982,2,0
64,대호,20151216,12104808332,1584168,892,39599,(주)넥스트엔터테인먼트월드(NEW),20145171,사극,박훈정,15321,최민식|,8.0,https://movie.naver.com/movie/bi/mi/basic.nhn?code=127496,11,0
65,차이나타운,20150429,11990370378,1472106,551,45137,CGV아트하우스,20149266,범죄,한준희,23441,김혜수|김고은|엄태구|,6.95,https://movie.naver.com/movie/bi/mi/basic.nhn?code=124041,6,0
66,장수상회,20150409,8737364643,1165780,688,52928,씨제이이앤엠(주),20140703,멜로/로맨스,강제규,9525,박근형|윤여정|조진웅|한지민|,8.88,https://movie.naver.com/movie/bi/mi/basic.nhn?code=120125,30,2
67,성난 변호사,20151008,8723650039,1128288,607,36990,씨제이이앤엠(주),20142855,범죄,허종호,5356,이선균|김고은|임원희|,7.84,https://movie.naver.com/movie/bi/mi/basic.nhn?code=129051,2,0
68,간신,20150521,8946842910,1110246,697,40580,롯데쇼핑㈜롯데엔터테인먼트,20142402,사극,민규동,14926,주지훈|김강우|천호진|임지연|이유영|,6.89,https://movie.naver.com/movie/bi/mi/basic.nhn?code=120123,8,0
69,그놈이다,20151028,8096427152,1046015,681,38678,CGV아트하우스,20157465,스릴러,윤준형,14737,주원|유해진|이유영|,6.95,https://movie.naver.com/movie/bi/mi/basic.nhn?code=134960,0,0
70,미쓰 와이프,20150813,7387086869,988451,437,28864,메가박스중앙(주)플러스엠,20143513,코미디,강효진,9913,엄정화|송승헌|,8.92,https://movie.naver.com/movie/bi/mi/basic.nhn?code=129406,0,0
71,허삼관,20150114,7408943569,955679,621,27645,(주)넥스트엔터테인먼트월드(NEW),20131262,드라마,하정우,11846,하정우|하지원|,7.51,https://movie.naver.com/movie/bi/mi/basic.nhn?code=112268,18,0
72,살인의뢰,20150312,6986456737,855980,646,35244,씨네그루(주)다우기술,20148461,범죄,손용호,4746,김상경|김성균|박성웅|,6.72,https://movie.naver.com/movie/bi/mi/basic.nhn?code=122916,0,0
73,손님,20150709,6385937880,828025,634,23404,씨제이이앤엠(주),20148844,판타지,김광태,73856,류승룡|이성민|천우희|이준|,6.49,https://movie.naver.com/movie/bi/mi/basic.nhn?code=122984,0,0
74,열정같은소리하고있네,20151125,4758959902,654102,566,30459,(주)넥스트엔터테인먼트월드(NEW),20156748,드라마,정기훈,6445,정재영|박보영|,7.36,https://movie.naver.com/movie/bi/mi/basic.nhn?code=128258,3,0
75,특종: 량첸살인기,20151022,4754763118,616481,776,31783,롯데쇼핑㈜롯데엔터테인먼트,20145504,스릴러,노덕,5544,조정석|이미숙|이하나|,7.0,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136007,3,0
76,서부전선,20150924,4751661400,609063,509,18935,롯데쇼핑㈜롯데엔터테인먼트,20140193,전쟁,천성일,6398,설경구|여진구|,6.36,https://movie.naver.com/movie/bi/mi/basic.nhn?code=125484,0,0
77,헬머니,20150305,4120166972,522929,422,24846,(주)넥스트엔터테인먼트월드(NEW),20148841,코미디,신한솔,3301,김수미|정만식|김정태|이태란|정애연|이영은|이아인|박준금|,6.82,https://movie.naver.com/movie/bi/mi/basic.nhn?code=123470,0,0
78,위험한 상견례 2,20150429,3575384754,472693,429,18409,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",20143512,멜로/로맨스,김진영,7415,진세연|홍종현|신정근|전수경|김응수|,6.69,https://movie.naver.com/movie/bi/mi/basic.nhn?code=103381,0,0
79,순수의 시대,20150305,3740948828,469891,546,23623,씨제이이앤엠(주),20136063,사극,안상훈,10096,신하균|장혁|강한나|강하늘|,6.27,https://movie.naver.com/movie/bi/mi/basic.nhn?code=112041,2,0
80,오피스,20150903,3460460230,441208,425,18575,(주)리틀빅픽쳐스,20143511,스릴러,홍원찬,214023,고아성|박성웅|,6.42,https://movie.naver.com/movie/bi/mi/basic.nhn?code=120141,3,0
81,"협녀, 칼의 기억",20150813,3360045489,431310,572,16099,롯데쇼핑㈜롯데엔터테인먼트,20130021,사극,박흥식,10491,이병헌|전도연|김고은|,5.37,https://movie.naver.com/movie/bi/mi/basic.nhn?code=98149,7,0
82,무뢰한,20150527,3262207431,414641,482,23660,CGV아트하우스,20130566,멜로/로맨스,오승욱,14066,전도연|김남길|박성웅|,7.78,https://movie.naver.com/movie/bi/mi/basic.nhn?code=44911,8,0
83,내 심장을 쏴라,20150128,2856859132,387409,452,20042,"(주)리틀빅픽쳐스,(주)이수C&E",20148553,드라마,문제용,6833,이민기|여진구|,7.71,https://movie.naver.com/movie/bi/mi/basic.nhn?code=54977,0,0
84,소수의견,20150624,2892681205,383582,398,16273,(주)시네마서비스,20136057,드라마,김성제,14201,윤계상|유해진|김옥빈|,7.95,https://movie.naver.com/movie/bi/mi/basic.nhn?code=94897,7,0
85,경성학교: 사라진 소녀들,20150618,2749609100,356415,489,18520,롯데쇼핑㈜롯데엔터테인먼트,20141224,미스터리,이해영,7048,박보영|엄지원|박소담|,6.13,https://movie.naver.com/movie/bi/mi/basic.nhn?code=112039,13,3
86,치외법권,20150827,2664941005,346483,446,15297,판씨네마(주),20155826,액션,신동엽,6302,임창정|최다니엘|,5.98,https://movie.naver.com/movie/bi/mi/basic.nhn?code=130787,0,0
87,극적인 하룻밤,20151203,2610567429,320884,434,18332,CGV아트하우스,20157501,멜로/로맨스,하기호,7220,윤계상|한예리|박병은|박효주|,6.54,https://movie.naver.com/movie/bi/mi/basic.nhn?code=115520,0,0
88,도리화가,20151125,2246950339,317505,563,19168,씨제이이앤엠(주),20140144,사극,이종필,11834,류승룡|수지|송새벽|,5.57,https://movie.naver.com/movie/bi/mi/basic.nhn?code=124013,0,0
89,함정,20150910,2090877200,257990,445,10899,(주)인벤트스톤,20143510,스릴러,권형진,16927,마동석|조한선|김민경|지안|,5.75,https://movie.naver.com/movie/bi/mi/basic.nhn?code=130765,0,0
90,조선마술사,20151230,1506449794,224657,596,4922,롯데쇼핑㈜롯데엔터테인먼트,20144442,드라마,김대승,10861,유승호|고아라|,6.6,https://movie.naver.com/movie/bi/mi/basic.nhn?code=130786,11,0
91,연애의 맛,20150507,1725990153,214539,398,12474,"(주)와우픽쳐스,(주)쇼박스",20149062,멜로/로맨스,김아론,11278,오지호|강예원|,7.37,https://movie.naver.com/movie/bi/mi/basic.nhn?code=118408,0,0
92,내부자들: 디 오리지널,20151231,1236787715,160148,595,1540,(주)쇼박스,20150025,범죄,우민호,3497,이병헌|조승우|백윤식|,9.04,https://movie.naver.com/movie/bi/mi/basic.nhn?code=147001,16,2
93,은밀한 유혹,20150604,1137666247,145547,394,14968,씨제이이앤엠(주),20136869,멜로/로맨스,윤재구,6834,임수정|유연석|,5.35,https://movie.naver.com/movie/bi/mi/basic.nhn?code=114277,0,0
94,나의 절친 악당들,20150625,1054470664,133553,384,9830,이십세기폭스코리아(주),20142856,범죄,임상수,5834,류승범|고준희|류현경|샘 오취리|,4.83,https://movie.naver.com/movie/bi/mi/basic.nhn?code=115981,25,0
95,퇴마: 무녀굴,20150820,951843500,120802,331,6463,씨네그루(주)다우기술,20158481,공포(호러),김휘,4891,김성균|유선|천호진|차예련|김혜성|임화영|,6.58,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136832,5,0
96,돌연변이,20151022,748816684,100523,399,6827,필라멘트픽쳐스,20145501,드라마,권오광,14361,이광수|이천희|박보영|,6.95,https://movie.naver.com/movie/bi/mi/basic.nhn?code=130733,0,0
97,쓰리 썸머 나잇,20150715,616132846,77621,297,5391,"(주)리틀빅픽쳐스,(주)인벤트스톤",20141060,코미디,김상진,4146,김동욱|임원희|손호준|윤제문|류현경|,6.74,https://movie.naver.com/movie/bi/mi/basic.nhn?code=129016,8,0
98,미안해 사랑해 고마워,20151028,359247800,51207,344,6541,(주)쇼박스,20149961,드라마,전윤수,3672,지진희|김성균|성유리|김영철|이계인|곽지혜|,7.13,https://movie.naver.com/movie/bi/mi/basic.nhn?code=124240,1,0
99,비밀,20151015,369339300,50196,305,5180,CGV아트하우스,20156553,미스터리,박은경,337082,성동일|손호준|김유정|,4.84,https://movie.naver.com/movie/bi/mi/basic.nhn?code=134954,0,0
100,약장수,20150423,314542400,44214,282,4312,"(주)대명문화공장,(주)나이너스엔터테인먼트",20156321,드라마,조치언,3157,김인권|박철민|이주실|,8.62,https://movie.naver.com/movie/bi/mi/basic.nhn?code=128265,1,0
101,타투,20151210,99255100,12102,133,1223,와이드 릴리즈(주),20147130,스릴러,이서,5260,송일국|윤주희|권현상|서영|,5.58,https://movie.naver.com/movie/bi/mi/basic.nhn?code=119968,1,0
102,검은손,20150416,89815665,11650,178,2572,(주)스톰픽쳐스코리아,20157986,공포(호러),박재식,10926,김성수|한고은|,3.22,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136660,0,0
103,부산행,20160720,93178283048,11565479,1788,151315,(주)넥스트엔터테인먼트월드(NEW),20156564,액션,연상호,38862,공유|정유미|마동석|김수안|김의성|최우식|안소희|,8.0,https://movie.naver.com/movie/bi/mi/basic.nhn?code=130966,21,2
104,검사외전,20160203,77320403264,9707581,1812,153532,(주)쇼박스,20145507,범죄,이일형,17261,황정민|강동원|,7.94,https://movie.naver.com/movie/bi/mi/basic.nhn?code=130903,0,1
105,밀정,20160907,61269783831,7500420,1444,138161,워너브러더스 코리아(주),20159646,액션,김지운,22277,송강호|공유|,8.42,https://movie.naver.com/movie/bi/mi/basic.nhn?code=137952,37,4
106,터널,20160810,57529484417,7120508,1105,113201,(주)쇼박스,20154910,드라마,김성훈,40254,하정우|배두나|오달수|,8.37,https://movie.naver.com/movie/bi/mi/basic.nhn?code=141104,18,0
107,인천상륙작전,20160727,55101410303,7049643,1049,97019,씨제이이앤엠(주),20156250,전쟁,이재한,22250,이정재|이범수|리암 니슨|진세연|,8.02,https://movie.naver.com/movie/bi/mi/basic.nhn?code=142822,8,2
108,럭키,20161013,56444461256,6975290,1234,155977,(주)쇼박스,20153444,코미디,이계벽,17297,유해진|이준|조윤희|임지연|,8.46,https://movie.naver.com/movie/bi/mi/basic.nhn?code=140695,1,1
109,곡성,20160512,55863520382,6879908,1485,130322,이십세기폭스코리아(주),20140194,미스터리,나홍진,27560,곽도원|황정민|쿠니무라 준|천우희|김환희|,7.6,https://movie.naver.com/movie/bi/mi/basic.nhn?code=121051,52,2
110,덕혜옹주,20160803,44393828109,5599229,964,97312,롯데쇼핑㈜롯데엔터테인먼트,20150979,사극,허진호,17599,손예진|박해일|,8.36,https://movie.naver.com/movie/bi/mi/basic.nhn?code=94767,25,1
111,마스터,20161221,39784641065,4935320,1501,70786,씨제이이앤엠(주),20161725,액션,조의석,53757,이병헌|강동원|김우빈|엄지원|오달수|진경|,8.1,https://movie.naver.com/movie/bi/mi/basic.nhn?code=145162,3,2
112,판도라,20161207,33955398164,4313864,1184,90758,(주)넥스트엔터테인먼트월드(NEW),20144641,드라마,박정우,15983,김남길|김주현|정진영|김영애|문정희|김대명|,8.31,https://movie.naver.com/movie/bi/mi/basic.nhn?code=132933,4,0
113,아가씨,20160601,35211229991,4287839,1171,90365,씨제이이앤엠(주),20144444,스릴러,박찬욱,47445,김민희|김태리|하정우|조진웅|,7.1,https://movie.naver.com/movie/bi/mi/basic.nhn?code=123519,91,0
114,귀향,20160224,27249738990,3587173,876,90286,(주)와우픽쳐스,20161364,드라마,조정래,15354,박지희|강하나|서미지|홍세나|김시은|최리|정무지|류신|임성철|이승현|남상지|,7.98,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167108,7,0
115,형,20161123,23113768293,2979659,993,83518,씨제이이앤엠(주),20154661,코미디,권수경,163306,조정석|디오|박신혜|,8.34,https://movie.naver.com/movie/bi/mi/basic.nhn?code=142803,2,0
116,아수라,20160928,20576226662,2594028,1278,68040,씨제이이앤엠(주),20153443,범죄,김성수,23131,정우성|황정민|주지훈|곽도원|,6.8,https://movie.naver.com/movie/bi/mi/basic.nhn?code=44913,15,0
117,굿바이 싱글,20160629,16912706195,2108273,841,56380,(주)쇼박스,20150972,코미디,김태곤,8531,김혜수|마동석|김현수|,8.1,https://movie.naver.com/movie/bi/mi/basic.nhn?code=139700,2,0
118,봉이 김선달,20160706,16227052642,2051277,942,51418,씨제이이앤엠(주),20159644,사극,박대민,6222,유승호|조재현|고창석|라미란|시우민|,7.71,https://movie.naver.com/movie/bi/mi/basic.nhn?code=134895,3,0
119,탐정 홍길동: 사라진 마을,20160504,11516170845,1430885,764,41076,씨제이이앤엠(주),20142406,드라마,조성희,4705,이제훈|김성균|,7.75,https://movie.naver.com/movie/bi/mi/basic.nhn?code=115504,6,1
120,특별수사: 사형수의 편지,20160616,9929947065,1241899,691,39372,(주)넥스트엔터테인먼트월드(NEW),20159645,범죄,권종관,5017,김명민|김상호|성동일|김영애|김향기|,8.3,https://movie.naver.com/movie/bi/mi/basic.nhn?code=130720,0,0
121,시간이탈자,20160413,9731838195,1202384,733,55075,씨제이이앤엠(주),20142621,스릴러,곽재용,7319,임수정|조정석|이진욱|,7.11,https://movie.naver.com/movie/bi/mi/basic.nhn?code=124025,8,0
